code,description
MECCLR-VAT,Export Customs Clearance (VAT)
MENSF-VAT,Import Service Fee (VAT)
MIN,Mining Fees Error
MOEXAM,Origin Customs Exam Charges
MPCH-VAT,Port Charges (VAT)
MPP,Mechandise Processing Fee
MRNCL,MRN close fee
MSC,MSK Chassis
MSRT,API- MSRATING
NAV,Navigation Fee
NOMI,Container Nomination
OADMN,Origin Administration Fee
OAGNT,Origin Agent Fee
OAMED,Origin Amendment Fee
OAWB,Origin Airway Bill Fee
OBBTL,Origin Bobtail
OBRCD,Origin Bar Code
OCART,Origin Cartage
OCART-VAT,Origin Cartage (VAT6%)
OCDEM,Origin Demurrage
OCDET,Origin Container Detention
OCFS,Origin Container Freight Station
OCFS-VAT,Origin Freight Station (VAT)
OCHS,Origin Chassis Rental
OCIS,Origin Container Imbalance Surcharge
OCLN,Origin Container Cleaning
OCLOSS,Origin Commercial Loss
OCOD,Change Original Destination at Origin
OCOU,Origin Document Courier Services
OCRC,Origin Container Return Charge
OCTF,Origin Clean Truck Fee
OCTRF,Origin Customs Transfer Fee
O-CWAF,ORIGIN CARGOWISE AUTOMATION FEE
ODANG,Origin Dangerous Goods Fee
ODOC,Origin Documentation Fee
ODRN,Origin Dry Run
ODROP,Origin Container Drop Fee
OEHC,Origin Equipment Handover Charge (LoLo)
OEXAM,Origin Customs Exam Charges
OEXDR,Origin Exam Drayage
OFLIP,Origin Rail Flip
OFSTN,Origin Fasten Fee
OFUMI,Origin Fumigation
OGA,Other Government Agency
OGAC,OGA Clearance
OHDL,Origin Handling fee
OHDL-NON,Origin Handling fee
OIO,Origin In&out Warehouse Fee
OIO-VAT,Origin In&out Warehouse Fee (VAT)
OLAB,Origin Labour Charges
OLAYO,Origin Layover
OLGF,Origin Late Gate Fee
OLIFT,Origin Container Lifting
OLOSS,Operations Loss
OMD,Origin Magnetic Detection
OOT,Origin Overtime
OOVLG,Origin OverLength Charge
OOVWE,Origin Over Weight Charge
OPACK,Origin Repackaging
OPC,Origin Port Channel Fee
OPCH,Origin Port Charges
OPCH-VAT,Origin Port Charges (VAT)
OPCS,Origin Port Congestion Surcharge
OPIER,Origin Pier Pass
